,,,,,,,
Целью данного проекта было составление баг-репорта на тестовый стенд https://test-stand.gb.ru/seminar_stands/umeet/index.html,,,,,,,
,,,,,,,
,,,,,,,
"Блок ""Хедер""",,,,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
8,"Кнопка ""Купить билеты"" не ведет на отдельную страницу покупки билетов",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Почему стоит посетить"". ","Выполнить клик на кнопку ""Купить билеты""","Кнопка ""Купить билеты"" ведет на отдельную страницу покупки билетов.","Кнопка ""Купить билеты"" ведет на https://dzen.ru/?yredirect=true",нет возможности добавить сюда видео
,,,,,,,
,,,,,,,
,Критичность,Критическая,,,,,
,,,,,,,
,Приоритет,Высокий ,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Блок ""Жюри""",,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
9,Отображение пустой карточки членов жюри в блоке,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Жюри"". ",Просмотреть карточки членов жюри,Все карточки членов жюри заполнены фотографиями и описанием,"Первая карточка слева во втором ряду пустая, нет фотографии и описания",
,,,,,,,
,,,,,,,
,Критичность,Значительная ,,,,,
,,,,,,,
,Приоритет,Средний,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
10,Отсутствие синей обводки у карточек членов жюри,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Жюри"". ",1. Выбрать карточку любого члена жюри.,Каждая карточка члена жюри имеет синюю обводку,Присутствует белая обводка карточек вместо указанной в ТЗ синей,
,,,,2. Проверить наличие синей обводки у карточки,,,
,,,,,,,
,Критичность,Незначительная,,,,,
,,,,,,,
,Приоритет,Низкий,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
11,Совпадение изображений нескольких членов жюри в карточках членов жюри,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Жюри"". ",1. Выбрать карточку любого члена жюри.,"На карточке каждого члена жюри указано изображение именно этого члена жюри, в карточках с разными фамилиями указаны разные изображения","У членов жюри Сергей Зверев, Donald Markin, Иван Прокофьев и Денис Макеев совпадают изображения",
,,,,2. Просмотреть карточку любого члена жюри.,,,
,,,,,,,
,Критичность,Значительный,,,,,
,,,,,,,
,Приоритет,Средний,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
