,,,,,
Целью данного проекта было составление тест-кейсов на тестовый стенд https://test-stand.gb.ru/seminar_stands/umeet/index.html,,,,,
,,,,,
"Блок ""Хедер""",,,,,
17,"Кнопка ""Узнать больше"" ведет на ленинг с описанием важности конференции",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Почему стоит посетить"". ","Выполнить клик на кнопку ""Узнать больше""","Кнопка ""Узнать больше"" ведет на ленинг с описанием важности конференции"
№,Название,,Предусловие,Шаги,Ожидаемый результат
18,"Наличие кнопки ""Купить билеты""",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Почему стоит посетить"". ","Проверить наличие кнопки ""Купить билеты"" в блоке ","Блок содержит кнопку ""Купить билеты"""
№,Название,,Предусловие,Шаги,Ожидаемый результат
19,"Кнопка ""Купить билеты"" располагается ниже (правее кнопки ""Узнать больше"")",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Почему стоит посетить"". ","Проверить расположение кнопки ""Купить билеты""","Кнопка ""Купить билеты"" располагается ниже (правее кнопки ""Узнать больше"")"
№,Название,,Предусловие,Шаги,Ожидаемый результат
20,"Кнопка ""Купить билеты"" ведет на отдельную страницу покупки билетов",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Почему стоит посетить"". ","Выполнить клик на кнопку ""Купить билеты""","Кнопка ""Купить билеты"" ведет на отдельную страницу покупки билетов"
"Блок ""Жюри""",,,,,
№,Название,,Предусловие,Шаги,Ожидаемый результат
21,Наличие галереи карточек членов жюри,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Жюри"". ",Проверить наличие галереи карточек членов жюри,В данном блоке представлена галерея карточек членов жюри
№,Название,,Предусловие,Шаги,Ожидаемый результат
22,Наличие синей обводки у карточки,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Жюри"". ","1. Выбрать карточку любого члена жюри.
2. Проверить наличие синей обводки у карточки",Каждая карточка члена жюри имеет синюю обводку
№,Название,,Предусловие,Шаги,Ожидаемый результат
23,Наличие изображения члена жюри в каждой из карточек,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Жюри"". ",Проверить наличие изображения члена жюри в каждой из карточек        ,В каждой карточке находится изображение члена жюри 
№,Название,,Предусловие,Шаги,Ожидаемый результат
24,Наличие прямоугольного блока с именем и фамилией члена жюри,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Жюри"". ","1. Выбрать карточку любого члена жюри.
2. Проверить наличие прямоугольного блока с именем и фамилией члена жюри",У каждой карточки члена жюри есть прямоугольный блок с именем и фамилией
№,Название,,Предусловие,Шаги,Ожидаемый результат
25,Расположение прямоугольного блока с именем и фамилией в нижней части каждой карточки                                ,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Жюри"". ","1. Выбрать карточку любого члена жюри.
2. Проверить наличие прямоугольного блока с именем и фамилией, который находится в нижней части каждой карточки                                ",В нижней части каждой карточки члена жюри находится прямоугольный блок с именем и фамилией
№,Название,,Предусловие,Шаги,Ожидаемый результат
26,Наличие должности у каждого члена жюри                         ,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Жюри"". ","1. Выбрать карточку любого члена жюри.
2. Просмотр должности любого члена жюри ",У каждого члена жюри в карточке указана должность
№,Название,,Предусловие,Шаги,Ожидаемый результат
27,Расположение прямоугольного блока с должностью в нижней части каждой карточки       ,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Жюри"". ","1. Выбрать карточку любого члена жюри.
2. Проверить расположение прямоугольного блока с должностью в нижней части каждой карточки       ",В нижней части каждой карточки члена жюри находится прямоугольный блок с указанием должности
№,Название,,Предусловие,Шаги,Ожидаемый результат
28,Увеличение в размере карточки каждого члена жюри при наведении на нее курсора мыши,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Жюри"". ","1. Выбрать карточку любого члена жюри.
2. Навести курсор мыши на карточку.",При наведении курсора мыши на карточку любого члена жюри происходит увеличение карточки в размере
№,Название,,Предусловие,Шаги,Ожидаемый результат
29,Затемнение фона карточки каждого члена жюри при наведении на нее курсора мыши,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Жюри"". ","1. Выбрать карточку любого члена жюри.
2. Навести курсор мыши на карточку.",При наведении курсора мыши на карточку любого члена жюри происходит затемнение фона карточки
№,Название,,Предусловие,Шаги,Ожидаемый результат
30,"В блоке ""Жюри"" находится 4 столбца ",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Жюри"". ","Проверить наличие 4 столбцов в блоке ""Жюри"" ","При просмотре блока ""Жюри"", в блоке жюри находится 4 столбца"
"Блок ""Расписание""",,,,,
31,"Наличие заголовка ""Расписание""",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ",Проверить наличие заголовка блока,"В начале блока отображается заголовок ""Расписание""	"
№,Название,,Предусловие,Шаги,Ожидаемый результат
32,Наличие расписания докладов по дням,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ",Проверить наличие расписания докладов по дням,В блоке отображается расписание докладов по дням
№,Название,,Предусловие,Шаги,Ожидаемый результат
33,В расписании указано 4 дня конференции,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ","1. Просмотреть расписание.
2. В расписании указано 4 дня конференции",В расписании указано 4 дня конференции
№,Название,,Предусловие,Шаги,Ожидаемый результат
34,Дни конференции представлены в виде табов,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html
Проскроллить страницу до блока ""Расписание"". ","1. Просмотреть расписание.
2. Дни конференции отображаются в виде табов",Дни конференции в блоке представлены в виде табов
№,Название,,Предусловие,Шаги,Ожидаемый результат
